"","GSM230349","GSM230350","GSM230351","GSM230352","GSM230353","GSM230354","GSM230355","GSM230356","GSM230357","GSM230358","GSM230359","GSM230360"
"ABHD10",5.55705720696565,5.52436215292533,5.57607696026558,5.60703785981432,5.75716033599708,5.59266473390104,5.59534742685165,5.78333694429016,5.7286528933106,5.9627593001004,5.85338731319749,5.59107244723209
"ABHD11",3.94533630017678,4.09803462945776,4.01955856386521,4.38652217521171,4.17318220971896,4.26924752167234,4.10426674704914,4.22847606444177,4.26832234171922,4.07319328159239,4.16044244821517,4.17962195096405
"ABHD12",7.78961550211942,7.74813349385223,7.89043984278432,7.87074711505498,7.63119931046268,7.63751480991323,7.66822106738881,7.54328594746746,7.84827346589755,7.84650754205224,7.67497728357191,7.43526829543033
"ABHD12B",1.86409695146954,1.95029749867042,1.90747787969396,1.8915301641787,1.96004910873923,1.87000099671577,2.06254482512796,1.97562557063922,1.85060367983177,1.92081098028461,1.99620419209234,2.09898201376932
"ABHD13",3.02460737076705,2.88829899614693,2.9462015602951,2.83815188184241,2.8471923588916,2.71709500928608,2.78880794298201,2.81516469233876,2.8430033642036,2.9669037909967,2.74927166398682,2.77931994899483
"ABHD14A",4.91703898247791,4.72864295364905,4.39554244504169,5.51616409897841,5.44612250704047,5.46890319015431,5.3174672584663,5.416189312906,5.88532542831813,5.61978611376593,5.68322291103648,5.50531359327971
"ABHD14B",5.75000870633114,5.552809332833,5.58289862700532,6.08111001986514,5.91485319228243,5.91298162892373,5.72715469996731,5.57838147903134,5.851845361419,6.14402984843743,5.89668724352465,6.13211294198532
"ABHD15",4.7045693889999,4.62420656407691,4.76506225287578,4.63718247488054,4.7172478675368,4.87405731147479,4.81439991025095,4.89779752176756,4.79129620036167,4.84343796304321,4.7338267729511,4.69006050341745
"ABHD16A",4.73394630537067,4.79346476383492,4.62538931877473,5.04039912864444,4.99900760409475,4.91999386025899,5.02874305981398,4.85369891961343,5.05090432909356,5.08917424011914,5.01741021705913,4.86102499040036
"ABHD16B",2.60502057423977,2.69093925502192,2.35620693301719,2.46695154087978,2.2162843265846,2.32987859707912,2.54557875174979,2.54215018212822,2.41535937123089,2.2862978405388,2.41535937123089,2.29966825932817
"ABHD17A",7.32854642950038,7.2448245900377,7.28424767863743,8.02413406202003,7.77365623112091,7.91755419418094,7.80255433612071,8.13101932318075,8.65326437029583,8.18938385255391,7.90751316889128,7.93695649853789
"ABHD17B",4.43660354975201,4.41427210074184,4.54036320426743,4.3940581606572,4.49713535276221,4.48731667276722,4.34382960525334,4.48778289335485,4.2589477408043,4.5333270970958,4.48109226396302,4.37850720661186
